#d3c2a0,p1
#bdb4e2,p1
#8fcce0,p1
#a0d3a5,p1
#c7e38b,p1
#fbfcba,p1
#e5cae9,p1
#aaedde,p1
#fec6c0,p1
#f8a86d,p1
#fa8983,p1
#efc665,p1
#c4d344,p1
#87e462,p1
#62e481,p1
#37e0ba,p1
#62b8e9,p1
#9a50af,p1
#3e3e3f,p2
#717171,p2
#3e3e3f,p2
#717171,p2
#3e3e3f,p3
#717171,p3
#3e3e3f,p3
#717171,p3
