#b377c2,p1
#7d91c3,p1
#e75e50,p1
#5daf72,p1
#d3c2a0,p2
#bdb4e2,p2
#8fcce0,p2
#a0d3a5,p2
#c7e38b,p2
#fbfcba,p3
#e5cae9,p3
#aaedde,p3
#fec6c0,p3
